Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іващенко,Макар,Зиновійович,Чоловіча,1942-06-17,Краєзнавець,хутір Херсон,"шосе Лавкова, буд. 3, Апостолове, 76376",987-81-01,aaron05@example.com
Швачко,Спас,Яремович,Чоловіча,1989-01-27,Астрофізик,хутір Отаманівка,"площа Ветеранів праці, буд. 8, Олешки, 41550",054-17-29,ihnatvlasiuk@example.net
Рябець,Богуслав,Єлисейович,Чоловіча,1966-09-23,Хімік,хутір Бурштин,"площа Олега Андрійця, буд. 349, Сміла, 18494",044 797-77-32,hryhorii08@example.com
Вернигора,Владислав,Теодорович,Чоловіча,1959-10-10,Дизайнер,місто Березань,"сквер Лиманчик 2-й Лінія 9-та, буд. 729, Селидове, 43221",+380 53 268-94-84,fiakovenko@example.com
Жарко,Макар,Остапович,Чоловіча,1994-06-29,Електротехнік,місто Авдіївка,"проспект Академіка Філатова, буд. 43 кв. 3, Нетішин, 75008",040 862 35 93,marianaandriichuk@example.net
Фастенко,Нестор,Данилович,Чоловіча,1964-01-23,Піаніст,село Вилкове,"узвіз Героїв Зміїного, буд. 5, Бердичів, 41474",+380 34 645-71-98,tymchenkovasyl@example.com
Гавришкевич,Веніямин,Мартинович,Чоловіча,1982-05-23,Фрілансер,місто Жданівка,"сквер Чайкова, буд. 98 кв. 667, Марганець, 16297",038 687-70-83,myronbandura@example.com
Атрощенко,Сергій,Богуславович,Чоловіча,1951-11-18,Фотограф,хутір Могилів-Подільський,"парк Рибальська балка, буд. 6 кв. 4, Вознесенськ, 27808",+380 01 660-29-90,leopoldasaula@example.net
Ковпак,Аврелій,Орестович,Чоловіча,1939-07-25,Фотограф,селище Мостиська,"площа Скрипковий, буд. 978 кв. 8, Долина, 34576",+380 24 474-52-82,hukoksana@example.com
Гук,Амвросій,Святославович,Чоловіча,1966-08-15,Флорист,місто Старобільськ,"проспект Нафтовиків 1-й, буд. 98, Зіньків, 53247",+380 53 461-57-08,bnosenko@example.com
Абраменко,Богодар,Романович,Чоловіча,1986-12-16,М'ясник,село Олександрівськ,"сквер Владислава Домбровського, буд. 97, Вижниця, 54437",+380 69 410-85-76,olenadashenko@example.org
Атаманчук,Вʼячеслав,Михайлович,Чоловіча,1988-08-15,Доцент,місто Армянськ,"провулок Родоканакі, буд. 2 кв. 8, Ямпіль, 44634",+380 01 356-94-50,wkadeniuk@example.com
Андрейко,Устим,Романович,Чоловіча,1972-09-26,Громадський діяч,село Деражня,"набережна Семінарська, буд. 0, Черкаси, 55149",001 405-23-12,rperebyinis@example.com
Величко,Левко,Вікторович,Чоловіча,1992-10-03,Підприємець,село Хуст,"провулок 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 754, Турка, 04534",+380 (47) 817-80-77,tsymbaloryna@example.org
Товстуха,Герман,Олегович,Чоловіча,1994-01-30,Дантист,хутір Костянтинівка,"провулок Прорізний, буд. 7 кв. 9, Жовті Води, 22808",168 63 38,taranhryhorii@example.org
Штепа,Єлисей,Іванович,Чоловіча,1952-05-07,Біолог,село Шахтарськ,"вулиця Дмитра Іванова, буд. 3 кв. 158, Виноградів, 06099",+380 69 976 78 16,yaronets@example.org
Приходько,Пилип,Устимович,Чоловіча,1980-08-28,Етнограф,селище Тлумач,"вулиця Флотський 1-й, буд. 1, Токмак, 75654",051 203 65 86,iashchukkamilla@example.com
Штокало,Пилип,Орхипович,Чоловіча,1972-01-11,Співак,село Кам'янське,"набережна Наявний 2-й, буд. 8 кв. 166, Шахтарське, 83051",551 19 15,oleksandrfranchuk@example.net
Оніщук,Хома,Андрійович,Чоловіча,1973-08-24,Акушер,село Могилів-Подільський,"шосе Наявний 6-й, буд. 875, Перечин, 70124",+380 04 708-35-45,nzakusylo@example.com
Шаблій,Руслан,Алевтинович,Чоловіча,1970-10-12,Астроном,хутір Шостка,"парк Лузанівський 2-й, буд. 00, Буськ, 43516",557 24 87,viatsenko@example.com
Чаленко,Гліб,Олегович,Чоловіча,1940-08-02,Гірник,місто Миронівка,"набережна Павла Чубинського, буд. 434, Волочиськ, 29939",+380 40 073-15-30,taranmariana@example.org
Цушко,Станіслав,Глібович,Чоловіча,1954-03-15,Письменник,село Ічня,"набережна Гена Іоганна, буд. 861 кв. 8, Калинівка, 80220",+380 44 558 33 78,lavrenkoalbina@example.net
Усик,Онисим,Леопольдович,Чоловіча,1964-03-07,Різноробочий,хутір Ходорів,"провулок Бузковий, буд. 64 кв. 6, Роздільна, 61950",906-19-49,qvdovenko@example.org
Гоголь-Яновський,Аврелій,Болеславович,Чоловіча,1973-03-09,Агроном,хутір Копичинці,"проспект Старосінна, буд. 32, Бар, 30209",+380 86 467 10 54,bandriishyn@example.com
Ґерета,Онисим,Едуардович,Чоловіча,1944-04-19,Мистецтвознавець,село Сімферополь,"проспект Садовського, буд. 7 кв. 431, Ківерці, 54413",943 95 93,piddubnafedir@example.net
Єрченко,Левко,Юстимович,Чоловіча,1984-01-18,Швачка,селище Горішні Плавні,"узвіз Квітковий, буд. 53 кв. 78, Голубівка, 09423",055 422 13 39,okhrimieromenko@example.com
Єрьоменко,Левко,Миронович,Чоловіча,1961-07-05,Клоун,село Яворів,"узвіз 40-річчя оборони Одеси, буд. 1 кв. 746, Коростень, 64070",097 890-19-28,volodymyra24@example.net
Романчук,Валентин,Романович,Чоловіча,1974-05-08,Сценарист,селище Кілія,"площа Джерельна, буд. 8, Долина, 33902",069 927 35 54,iaremchukrozaliia@example.com
Непорожній,Богдан,Назарович,Чоловіча,1962-06-22,Літературознавець,хутір Костопіль,"узвіз Керченський 3-й, буд. 02 кв. 275, Нова Одеса, 06042",003 283 79 57,svitlanadavydenko@example.com
Гайдай,Августин,Опанасович,Чоловіча,1950-10-08,Слідчий,селище Хоростків,"площа Заводська 1-ша, буд. 8, Вовчанськ, 36093",028 824-63-83,utymchenko@example.net
Івасюк,Георгій,Леопольдович,Чоловіча,2001-02-01,Парфюмер,селище Новояворівськ,"проспект Лінія 37-ма, буд. 40 кв. 86, Херсон, 68063",+380 59 087-04-74,ustenkoiosyp@example.org
Сиротенко,Костянтин,Глібович,Чоловіча,1986-01-11,Мінералог,село Підгородне,"площа Садовського, буд. 353 кв. 38, Подільськ, 65274",+380 (29) 543-04-06,friabchenko@example.org
Василевич,Олесь,Петрович,Чоловіча,1979-12-30,Єгер,місто Голубівка,"вулиця Успенський, буд. 517, Вознесенськ, 02171",001 322 49 84,davymukaleon@example.org
Христич,Лукʼян,Захарович,Чоловіча,1999-08-13,Співак,селище Олешки,"парк Хімічний 2-й, буд. 8, Чортків, 12251",023 067-87-05,danylchukbohdanna@example.net
Алексеєнко,Леопольд,Олесьович,Чоловіча,2003-10-15,Флорист,хутір Богодухів,"парк Хімічний 2-й, буд. 66 кв. 935, Кам'янка (Черкаська область), 43542",892 12 69,imoskal@example.org
Саченко,Богдан,Єфремович,Чоловіча,1999-08-16,Професор,місто Чигирин,"парк 9-та Лінія Дачі Ковалевського, буд. 555 кв. 82, Харцизьк, 70697",+380 55 590-10-83,iteslia@example.com
Шахрай,Нестор,Прохорович,Чоловіча,1941-04-02,Каскадер,село Обухів,"шосе Паркова, буд. 9, Городок, 25386",+380 93 105-56-53,violetta28@example.org
Бабій,Валентин,Георгійович,Чоловіча,1985-07-29,Штукатур,місто Докучаєвськ,"провулок Дюківський сад, буд. 301, Слов'янськ, 31543",965-01-58,orest92@example.com
Дараган,Леон,Гаврилович,Чоловіча,1949-10-07,Антрополог,місто Брянка,"парк Аеропортівська, буд. 7, Миргород, 86169",+380 86 402-64-45,halynapoltavets@example.net
Демʼяненко,Валентин,Семенович,Чоловіча,1999-08-31,Кушнір,хутір Красноперекопськ,"парк Луцька, буд. 1, Мена, 19214",760 05 31,udovychenkooles@example.net
Шовкопляс,Олег,Зиновійович,Чоловіча,1955-10-17,Менеджер,селище Арциз,"узвіз Одеський, буд. 45 кв. 09, Жидачів, 67969",+380 52 663 56 85,rsaienko@example.com
Шведченко,Спас,Олегович,Чоловіча,1963-04-05,Художник,хутір Скадовськ,"вулиця Дальницьке, буд. 671 кв. 8, Генічеськ, 24116",+380 (03) 639-51-02,babakbohuslava@example.org
Дутка,Юстим,Русланович,Чоловіча,1961-06-26,Геофізик,селище Пирятин,"вулиця Західний 4-й, буд. 0 кв. 85, Жовква, 67190",735-53-60,anastasiiaonyshchenko@example.org
Гаврилюк,Зорян,Тимофійович,Чоловіча,1966-09-05,Живописець,місто Хоростків,"шосе Миколи Троїцького, буд. 28, Овруч, 76846",+380 59 490-38-73,amaliiachubai@example.net
Шелест,Ярема,Омелянович,Чоловіча,1945-12-18,Письменник,селище Горохів,"узвіз Середньофонтанський, буд. 427, Путивль, 99946",187 17 04,ihnathaida@example.net
Дубас,Гордій,Вікторович,Чоловіча,1994-06-21,Агроном,місто Берестечко,"набережна Слобідська, буд. 97, Хирів, 84729",+380 34 762-24-62,zoriandemydenko@example.com
Заїка,Опанас,Орестович,Чоловіча,1949-10-06,Педагог,селище Бережани,"провулок Рівності 2-й, буд. 173, Горлівка, 62503",005 18 75,demianishchak@example.org
Корбут,Микита,Богданович,Чоловіча,1981-05-04,Кушнір,місто Хмільник,"проспект Аеропортівський 1-й, буд. 66, Перевальськ, 62820",086 147 38 82,nverkhola@example.net
Шевченко,Костянтин,Азарович,Чоловіча,1974-11-20,Будник,селище Камінь-Каширський,"провулок Кримська, буд. 57 кв. 48, Коростишів, 90532",+380 30 701-09-11,oles35@example.org
Гайдабура,Спас,Григорійович,Чоловіча,1994-09-28,Швачка,місто Василівка,"вулиця Заводська 3-тя, буд. 86, Перевальськ, 27730",+380 14 273-09-18,bshutko@example.org
Дацюк,Аркадій,Яремович,Чоловіча,1990-01-26,Бібліограф,селище Вінниця,"провулок Ромський, буд. 82, Слов'янськ, 32072",042 041 62 13,boleslav61@example.org
Гаврюшенко,Соломон,Альбертович,Чоловіча,1985-12-13,Художник,хутір Кремінна,"провулок Кругова, буд. 554 кв. 912, Берестечко, 97551",+380 (63) 518-86-78,ciarema@example.net
Доценко,Миколай,Адамович,Чоловіча,1957-06-09,Акушер,село Ніжин,"шосе Лінія 39-та, буд. 55 кв. 74, Золоте, 92853",779-47-03,anastasiia17@example.org
Коваленко,Антон,Станіславович,Чоловіча,1970-12-26,Графік,місто Волноваха,"проспект Долинська, буд. 07 кв. 9, Чорноморськ, 18924",816-26-15,halynatsisyk@example.org
Даниленко,Гаврило,Вікторович,Чоловіча,1987-07-05,Композитор,село Біляївка,"парк Заводська 5-та, буд. 2, Бахмач, 97213",+380 59 286 68 00,geregavolodymyra@example.org
Гаврилець,Віталій,Семенович,Чоловіча,1996-07-05,Ветеринар,місто Мукачево,"сквер Лазурний 2-й, буд. 61 кв. 8, Кагарлик, 52158",095 236-33-99,larysakomar@example.net
Шиян,Трохим,Пантелеймонович,Чоловіча,1989-11-13,Диригент,село Світлодарськ,"площа Маячний, буд. 2 кв. 589, Новомиргород, 02109",+380 17 959-26-82,liubovhohol@example.net
Архипенко,Станіслав,Зиновійович,Чоловіча,1959-12-07,Ґрунтознавець,село Добромиль,"парк Заводська 5-та, буд. 927 кв. 6, Чорноморськ, 11395",416-15-40,aaron06@example.net
Шахрай,Семен,Русланович,Чоловіча,1988-09-28,Візажист,хутір Антрацит,"площа Михайла Врубеля, буд. 821 кв. 52, Сіверськодонецьк, 98259",007 060-67-21,iustymazhazha@example.com
Дашенко,Хома,Миронович,Чоловіча,1965-05-17,Петрограф,місто Звенигородка,"провулок Віталія Блажка, буд. 493 кв. 4, Славутич, 63377",+380 13 407-68-40,iashchenkoiryna@example.com
Товстуха,Ілля,Остапович,Чоловіча,1983-09-10,Співак,місто Білозерське,"узвіз Проектований 3-й, буд. 731 кв. 48, Південне, 96699",+380 (71) 784-38-08,avhustyn22@example.org
Ващенко,Вадим,Теодорович,Чоловіча,1997-06-28,Швачка,селище Маріуполь,"проспект Пересипська 6-та, буд. 842 кв. 8, Сміла, 20265",+380 (15) 536-09-92,ivanstelmakh@example.com
Конопля,Альберт,Євгенійович,Чоловіча,1973-12-11,Льотчик,селище Тетіїв,"шосе Гіацинтовий, буд. 315, Луганськ, 64600",086 199 43 26,iakymchukbohdan@example.com
Редько,Віктор,Трохимович,Чоловіча,1951-11-28,Бібліограф,хутір Феодосія,"набережна Студена, буд. 4, Щастя, 86873",012 892 60 61,frankooleksa@example.org
Даценко,Опанас,Сергійович,Чоловіча,2000-08-10,Піаніст,хутір Ужгород,"площа Сосюри, буд. 93 кв. 887, Охтирка, 46823",+380 (97) 199-52-59,levko24@example.org
Дубина,Валентин,Єлисейович,Чоловіча,2008-05-21,Мовознавець,місто Охтирка,"шосе Майстерний, буд. 3 кв. 2, Ананьїв, 85796",+380 22 782-65-45,kfareniuk@example.com
Ажажа,Євген,Орхипович,Чоловіча,1948-04-09,Ріелтор,село Корсунь-Шевченківський,"площа Орликова, буд. 366 кв. 530, Косів, 13209",+380 91 851-97-94,danna14@example.org
Карпенко,Костянтин,Валерійович,Чоловіча,1952-12-06,Сантехнік,хутір Збараж,"площа Гетьмана Сагайдачного, буд. 602 кв. 443, Новгород-Сіверський, 30908",273 44 57,wsheremet@example.org
Бандурка,Болеслав,Гордійович,Чоловіча,1990-04-09,Геолог,хутір Кропивницький,"парк Жоліо-Кюрі, буд. 8, Бердичів, 83607",684 22 97,heorhiifareniuk@example.net
Тягнибок,Аарон,Георгійович,Чоловіча,1948-05-21,Адвокат,хутір Одеса,"площа Ярморочна площа, буд. 4 кв. 6, Дніпрорудне, 72378",735 19 55,tryhubhordii@example.org
Гайда,Йосип,Богуславович,Чоловіча,1997-07-30,Громадський діяч,селище Бершадь,"шосе Прокатна, буд. 0, Буринь, 57658",983-44-63,hordiibebeshko@example.net
Яременко,Гордій,Захарович,Чоловіча,1967-11-27,Психолог,селище Ворожба,"набережна Луценка Івана, буд. 316, Мар'їнка, 97309",377 56 52,oleh45@example.org
Голобородько,Спас,Іванович,Чоловіча,1946-06-11,Клоун,село Гнівань,"вулиця Лігінська, буд. 12, Здолбунів, 90500",794 10 66,bohuslavrudko@example.com
Корпанюк,Дан,Кирилович,Чоловіча,1980-03-14,Кінорежисер,місто Чортків,"сквер Краснослобідська, буд. 497 кв. 0, Узин, 62353",006 99 05,vlasenkoheorhii@example.org
Чміль,Ігор,Демидович,Чоловіча,1975-05-19,Співак,хутір Шпола,"вулиця Олександра Кошиця, буд. 7, Радомишль, 60427",300-47-54,arkadii11@example.org
Чабан,Ілля,Геннадійович,Чоловіча,2004-07-22,Будник,селище Корюківка,"узвіз Розумовський 1-й, буд. 325 кв. 201, Путивль, 01573",+380 54 329-20-09,hennadiikorsun@example.org
Артюх,Франц,Валентинович,Чоловіча,1946-01-03,Музикознавець,місто Родинське,"шосе Проектний 5-й, буд. 94 кв. 55, Перевальськ, 38523",+380 (10) 316-47-35,iaroslaviefymenko@example.net
Литвиненко,Богдан,Давидович,Чоловіча,1966-12-10,Ювелір,місто Вуглегірськ,"проспект Валерія Самофалова, буд. 68, Білогірськ, 22608",054 208 25 18,ivdovenko@example.com
Артюх,Костянтин,Федорович,Чоловіча,1981-07-09,Астрофізик,селище Зеленодольськ,"узвіз Поштовий, буд. 99 кв. 52, Сорокине, 36164",368 47 98,zatulaalbert@example.org
Жайворон,Левко,Андрійович,Чоловіча,2008-03-28,Реабілітолог,селище Дніпрорудне,"набережна Мечникова, буд. 97 кв. 114, Гнівань, 88270",013 604 02 67,sliusarvolodymyra@example.com
Голик,Герман,Вʼячеславович,Чоловіча,1971-06-13,Графік,селище Чернігів,"площа Лузанівська, буд. 167, Красилів, 80234",+380 35 075-70-22,iaroslava23@example.net
Носенко,Аарон,Адамович,Чоловіча,1951-07-03,Фізик,селище Нетішин,"провулок Віталія Нестеренка, буд. 2, Тисмениця, 76939",939 58 30,eduard93@example.org
Штепа,Макар,Тарасович,Чоловіча,1975-10-26,Громадський діяч,селище Христинівка,"проспект Чехівського, буд. 31, Мелітополь, 04025",+380 24 269-67-58,uromanenko@example.com
Ґерета,Вʼячеслав,Миколайович,Чоловіча,1945-01-23,Фермер,селище Бершадь,"парк Зоопаркова, буд. 23 кв. 18, Радехів, 01536",+380 (32) 633-57-34,valeriibandera@example.org
Андрійчук,Веніямин,Прохорович,Чоловіча,1977-08-12,Ґрунтознавець,селище Звенигородка,"парк Олексія Косяченко, буд. 9 кв. 371, Рівне, 67808",+380 (78) 716-00-52,iarema62@example.com
Івасюк,Лесь,Васильович,Чоловіча,1992-12-08,Публіцист,селище Хотин,"узвіз Михайла Омеляновича-Павленка, буд. 967 кв. 988, Переяслав, 35312",008 551-83-18,imykhaliuk@example.net
Адамчук,Макар,Соломонович,Чоловіча,1999-03-15,Підприємець,хутір Кальміуське,"сквер Агрономічний, буд. 18, Прип'ять, 89443",043 254-42-63,chervonenkoherman@example.net
Іщак,Іван,Адамович,Чоловіча,1961-09-23,Євнух,місто Мерефа,"узвіз Газовий, буд. 933, Андрушівка, 36918",+380 (81) 103-06-01,kzatovkaniuk@example.net
Скиба,Георгій,Кирилович,Чоловіча,1989-05-07,Географ,селище Боково-Хрустальне,"узвіз Вишнева, буд. 892 кв. 5, Городенка, 13315",+380 80 995-97-47,danna65@example.com
Міщенко,Симон,Станіславович,Чоловіча,1966-02-12,Слідчий,село Кам'янка-Бузька,"проспект Вертелецького, буд. 921, Енергодар, 30146",223 73 09,lupiiviktoriia@example.net
Штокало,Віктор,Захарович,Чоловіча,1964-07-04,Музикознавець,село Надвірна,"набережна Французький, буд. 8 кв. 765, Підгайці, 90316",+380 11 677-27-39,orysia82@example.com
Бабʼюк,Давид,Зорянович,Чоловіча,1947-02-27,Підприємець,село Заводське,"шосе Педагогічна, буд. 041, Устилуг, 57033",013 037 51 89,opanas65@example.com
Шведченко,Мартин,Зорянович,Чоловіча,1945-02-10,Етнограф,село Трускавець,"проспект Олега Андрійця, буд. 950 кв. 371, Хотин, 19240",387-40-13,serhiiartym@example.net
Рябошапка,Спас,Мирославович,Чоловіча,1963-01-06,Астронавт,село Житомир,"набережна Студентський 4-й, буд. 355, Свалява, 74869",+380 (47) 903-28-79,neporozhniivalentyn@example.net
Рябовіл,Артем,Трохимович,Чоловіча,1944-01-15,Ветеринар,селище Українка,"набережна Маланова, буд. 77, Стебник, 88376",002 513 14 89,chmiltereza@example.org
Фастенко,Юстим,Яремович,Чоловіча,1978-12-23,Астронавт,місто Синельникове,"площа Балтський 1-й, буд. 771 кв. 2, Ірпінь, 28083",010 451 63 83,karpaiukhym@example.org
Андрейко,Франц,Вікторович,Чоловіча,1945-07-19,Мовознавець,село Гнівань,"сквер Миколи Плигуна, буд. 6 кв. 904, Кілія, 11968",+380 85 604-41-47,nehodasviatoslava@example.com
Литвиненко,Аврелій,Пантелеймонович,Чоловіча,2005-01-07,Правник,місто Хуст,"вулиця Глухівський, буд. 744, Надвірна, 85873",+380 69 738 88 30,romanvdovychenko@example.org
Архипенко,Альберт,Георгійович,Чоловіча,2006-06-28,Журналіст,хутір Кальміуське,"провулок Ватманський, буд. 19 кв. 59, Глиняни, 52570",+380 69 073-34-62,fareniuksolomiia@example.net
Власенко,Опанас,Миколайович,Чоловіча,2005-09-05,Професор,хутір Вільнянськ,"набережна Східчастий 3-й, буд. 508 кв. 95, Сімферополь, 12324",+380 87 357-32-80,sviatoslav81@example.org
Шиян,Теодор,Сергійович,Чоловіча,1985-09-10,Епідеміолог,місто Кагарлик,"провулок Хаджибейський, буд. 9, Новояворівськ, 69035",083 645 40 72,pbevzenko@example.org
Андрейко,Захар,Опанасович,Чоловіча,1946-05-16,Ріелтор,хутір Мукачево,"парк Євгена Крамаренка, буд. 1, Бердянськ, 99747",+380 (22) 189-99-93,vashchukemiliia@example.org
Єременко,Максим,Захарович,Чоловіча,1980-12-20,Хореограф,хутір Почаїв,"вулиця Учительський, буд. 95 кв. 402, Святогірськ, 61738",004 756 38 88,prymachenkotaras@example.org
Симоненко,Назар,Станіславович,Чоловіча,1949-09-09,М'ясник,селище Багачеве,"набережна Лиманчик 2-й Лінія 4-та, буд. 995, Покровськ, 04102",076 709 48 10,boryslav50@example.net
Дурдинець,Демʼян,Дмитрович,Чоловіча,1941-12-07,Композитор,хутір Городище,"вулиця Савицький, буд. 214, Камінь-Каширський, 75025",+380 19 300 69 40,vertyporokholeh@example.org
Штокало,Вадим,Олегович,Чоловіча,1986-03-03,Фотограф,хутір Рені,"узвіз Гонтаренко, буд. 050 кв. 83, Заводське, 92038",+380 (39) 390-57-17,snizhana02@example.net
Жайворон,Станіслав,Олександрович,Чоловіча,1972-01-05,Педагог,село Антрацит,"площа Хвойний, буд. 9, Болехів, 40792",+380 29 584 17 48,okseniia62@example.net
Якименко,Федір,Демидович,Чоловіча,1983-07-02,Фізик,місто Новгород-Сіверський,"вулиця Гімназична, буд. 93 кв. 3, Запоріжжя, 64610",+380 77 387-91-18,farkhymovych@example.org
Конопля,Борислав,Зиновійович,Чоловіча,1996-09-15,Графік,хутір Рава-Руська,"проспект Пантелеймонівська, буд. 94, Городня, 37253",100-45-83,pshakhrai@example.org
Коваленко,Антон,Едуардович,Чоловіча,2000-06-17,Драматург,селище Старий Крим,"проспект Чигиринська, буд. 2, Берестечко, 10758",018 679-82-29,baranviacheslav@example.org
Забашта,Гаврило,Дмитрович,Чоловіча,1988-11-23,Живописець,селище Новомиргород,"проспект Соляний 1-й, буд. 810, Радомишль, 60330",208-40-20,irena97@example.com
Андрієвич,Устим,Венедиктович,Чоловіча,1988-09-14,Кінорежисер,місто Ровеньки,"набережна Дальня, буд. 05 кв. 08, Ічня, 58452",+380 09 876 62 76,ivan53@example.com
Юхименко,Остап,Лукʼянович,Чоловіча,1997-08-21,Біолог,хутір Середина-Буда,"сквер Гранатна, буд. 1 кв. 81, Перевальськ, 06597",044 498-71-11,valentyn95@example.org
Жученко,Леонід,Романович,Чоловіча,1992-10-26,Мікробіолог,селище Перечин,"узвіз Ромський, буд. 304 кв. 9, Снігурівка, 27619",007 104 18 15,mykolai97@example.net
Александренко,Геннадій,Олесьович,Чоловіча,1951-04-10,Науковець,селище Дунаївці,"проспект Новиков міст, буд. 33, Шептицький, 60982",+380 (26) 709-80-19,khrystyna09@example.net
Голик,Віталій,Максимович,Чоловіча,1965-07-15,Бібліотекар,хутір Буринь,"площа Фахова, буд. 0, Вільнянськ, 10751",041 569-35-34,veresviacheslav@example.org
Дараган,Трохим,Амвросійович,Чоловіча,1946-06-06,Електромонтер,село Костопіль,"парк Керченська, буд. 999, Буськ, 14501",+380 39 247-85-04,baidaanita@example.com
Батіг,Антон,Остапович,Чоловіча,1970-09-22,Дерун,місто Кадіївка,"площа Вчительська, буд. 09, Корюківка, 06643",+380 67 204-22-54,lukianchaika@example.org
Худяк,Спас,Альбертович,Чоловіча,1954-03-31,Археолог,селище Козятин,"провулок Дальній, буд. 859 кв. 79, Городок, 06722",906 94 18,aandriiovych@example.net
Бабко,Валентин,Олексович,Чоловіча,1975-01-21,Слідчий,місто Новий Буг,"парк Заможна, буд. 425, Горохів, 67679",+380 (83) 998-00-73,leonprykhodko@example.org
Михайлюк,Мирослав,Андрійович,Чоловіча,1986-07-23,Водій,село Острог,"шосе Музична, буд. 7 кв. 03, Бібрка, 84751",+380 54 206 13 43,parmenandreiko@example.net
Баранець,Веніямин,Іванович,Чоловіча,1964-04-27,Провізор,село Чугуїв,"провулок Проточний, буд. 192 кв. 0, Куп'янськ, 95809",+380 56 970-15-23,irvanetsmykolai@example.net
Дутка,Леопольд,Макарович,Чоловіча,1971-01-13,Бізнесмен,хутір Сновськ,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 21, Хмільник, 33953",+380 97 650-62-76,ihorcherinko@example.org
Конопленко,Борис,Федорович,Чоловіча,1966-12-02,Золотар,місто Мукачево,"провулок Кільцева, буд. 1 кв. 175, Новомиргород, 62187",+380 50 448 14 99,romanbaranyk@example.com
Олійник,Давид,Богданович,Чоловіча,1988-09-25,Гірничий інженер,хутір Слов'янськ,"проспект Дніпровська, буд. 35, Носівка, 77122",+380 35 886 93 38,ckashchenko@example.org
Демʼянчук,Андрій,Антонович,Чоловіча,1967-02-05,Конструктор,село Рава-Руська,"узвіз Лінія 39-та, буд. 397, Сокаль, 61768",+380 22 405-80-99,liza21@example.net
Франко,Леопольд,Андрійович,Чоловіча,1976-01-23,Кінорежисер,селище Іллінці,"проспект Роздольна, буд. 9, Кам'янка (Черкаська область), 11360",+380 12 964-14-06,orkhyp25@example.com
Рудько,Лукʼян,Сергійович,Чоловіча,1958-10-18,Геофізик,село Хутір-Михайлівський,"провулок Уманська, буд. 0, Підгородне, 59785",+380 (17) 353-27-91,samoilenkonadiia@example.com
